PriceID,AssetID,PriceDate,OpenPrice,HighPrice,LowPrice,ClosePrice,Volume
1,1,2023-09-01,189.49,189.92,188.28,189.46,45732600
2,1,2023-09-05,188.28,189.98,187.61,189.70,45280000
3,1,2023-09-06,188.40,188.85,181.47,182.91,81755800
4,1,2023-09-07,175.18,178.21,173.54,177.56,112488800
5,1,2023-09-08,178.35,180.24,177.79,178.18,65551300
6,1,2023-09-11,180.07,180.30,177.34,179.36,58953100
7,1,2023-09-12,179.49,180.13,174.82,176.30,90370200
8,1,2023-09-13,176.51,177.30,173.98,174.21,84267900
9,1,2023-09-14,174.00,176.10,173.58,175.74,60895800
10,1,2023-09-15,176.48,176.50,173.82,175.01,109205100
11,1,2023-09-18,176.48,179.38,176.17,177.97,67257600
12,1,2023-09-19,177.52,179.63,177.13,179.07,51826900
13,1,2023-09-20,179.26,179.70,175.40,175.49,58436200
14,1,2023-09-21,174.55,176.30,173.86,173.93,63047900
15,1,2023-09-22,174.67,177.08,174.05,174.79,56725400
16,1,2023-09-25,174.20,176.97,174.15,176.08,46172700
17,1,2023-09-26,174.82,175.20,171.66,171.96,64588900
18,1,2023-09-27,172.62,173.04,169.05,170.43,66921800
19,1,2023-09-28,169.34,172.03,167.62,170.69,56294400
20,1,2023-09-29,172.02,173.07,170.34,171.21,51814200
21,1,2023-10-02,171.22,174.30,170.93,173.75,52164500
22,1,2023-10-03,172.26,173.63,170.82,172.40,49594600
23,1,2023-10-04,171.09,174.21,170.97,173.66,53020300
24,1,2023-10-05,173.79,175.45,172.68,174.91,48527900
25,1,2023-10-06,173.80,177.99,173.18,177.49,57224100
26,1,2023-10-09,176.81,179.05,175.80,178.99,42390800
27,1,2023-10-10,178.10,179.72,177.95,178.39,43698000
28,1,2023-10-11,178.20,179.85,177.60,179.80,47551100
29,1,2023-10-12,180.07,182.34,179.04,180.71,56743100
30,1,2023-10-13,181.42,181.93,178.14,178.85,51427100
